2018:11:30 10:15:04.807 INFO  --- [main] c.e.demo.SpringVueMallApplication : Started SpringVueMallApplication in 3.741 seconds (JVM running for 4.541) 
2018:11:30 10:15:07.691 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring FrameworkServlet 'dispatcherServlet' 
2018:11:30 10:15:07.692 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization started 
2018:11:30 10:15:07.707 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms 
2018:11:30 10:16:10.801 INFO  --- [http-nio-8080-exec-1] jdbc.resultsettable : 
|---|-----|--------|--------|-------|----------------|---------|-----|-------|
|id |name |price   |image   |detail |delivery_charge |hitcount |size |color  |
|---|-----|--------|--------|-------|----------------|---------|-----|-------|
|1  |나이키  |100000  |ho1.jpg |보기     |무료 배송           |0        |     |[null] |
|2  |나이키  |5000    |ho2.jpg |보기     |무료 배송           |0        |     |[null] |
|3  |나이키  |2525211 |ho1.jpg |보기     |무료 배송           |0        |     |[null] |
|---|-----|--------|--------|-------|----------------|---------|-----|-------|
 
2018:11:30 10:16:13.029 INFO  --- [http-nio-8080-exec-3] jdbc.resultsettable : 
|---|-----|------|--------|-------|----------------|---------|-----|-------|
|id |name |price |image   |detail |delivery_charge |hitcount |size |color  |
|---|-----|------|--------|-------|----------------|---------|-----|-------|
|2  |나이키  |5000  |ho2.jpg |보기     |무료 배송           |0        |     |[null] |
|---|-----|------|--------|-------|----------------|---------|-----|-------|
 
2018:11:30 10:16:42.111 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested. 
2018:11:30 10:16:42.115 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@16d04d3d: startup date [Fri Nov 30 10:15:01 KST 2018]; root of context hierarchy 
2018:11:30 10:16:42.117 INFO  --- [RMI TCP Connection(2)-127.0.0.1] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
2018:11:30 10:19:18.571 INFO  --- [main] c.e.demo.SpringVueMallApplication : Starting SpringVueMallApplication on cheongonhong-ui-MacBook-Pro.local with PID 923 (/Users/Sarkh/Documents/Workspace/Spring/project_Mall/target/classes started by Sarkh in /Users/Sarkh/Documents/Workspace/Spring/project_Mall) 
2018:11:30 10:19:18.586 INFO  --- [main] c.e.demo.SpringVueMallApplication : No active profile set, falling back to default profiles: default 
2018:11:30 10:19:18.826 INFO  --- [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@16d04d3d: startup date [Fri Nov 30 10:19:18 KST 2018]; root of context hierarchy 
2018:11:30 10:19:19.838 INFO  --- [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2018:11:30 10:19:19.855 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2018:11:30 10:19:19.856 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.34 
2018:11:30 10:19:19.921 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2018:11:30 10:19:19.922 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1096 ms 
2018:11:30 10:19:20.053 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2018:11:30 10:19:20.055 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Mapping servlet: 'webServlet' to [/h2-console/*] 
2018:11:30 10:19:20.057 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2018:11:30 10:19:20.058 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
